Price,Close,High,Low,Open,Volume,SMA_50,SMA_200,rsi,macd,signal,Daily Return,Cumulative Return,Volatility,Upper Band,Lower Band,Position,Strategy Return,Cumulative Strategy Return,Cumulative Market Return
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2021-05-19,1218.7479248046875,1237.3891630642836,1215.3295966685487,1223.3056956528726,4435878,,,43.70817493055836,-11.051652717233537,0,-0.002238670832540479,0.9652036903249279,0.00834793545719677,,,0,-0.0,1.0,0.9652036903249279
2021-05-20,1220.844482421875,1229.7776460702169,1216.9247551803546,1229.139602693084,4490092,,,44.795277161242936,-10.200288389545676,0,0.0017202553329667136,0.9668640871206086,0.00818431056206503,,,0,0.0,1.0,0.9668640871206086
2021-05-21,1234.7000732421875,1237.434735641395,1227.2708848029342,1228.3191943107033,4969733,,,51.46601589940967,-8.311733156949913,0,0.01134918576428845,0.9778372072541596,0.008597392162110093,,,0,0.0,1.0,0.9778372072541596
2021-05-24,1228.820556640625,1242.448246010722,1226.1314052647197,1236.659899694538,4225371,,,48.772767842107015,-7.20639652803834,0,-0.004761898641605811,0.9731808455852243,0.00813469010444463,,,0,-0.0,1.0,0.9731808455852243
2021-05-25,1241.1719970703125,1247.005965361831,1234.6543632276089,1237.8904246793616,4099340,,,54.19557221950671,-5.272967778482553,0,0.01005145980260469,0.9829627337352891,0.008276231790722493,,,0,0.0,1.0,0.9829627337352891
2021-05-26,1273.6689453125,1276.175719046341,1241.5822860288117,1246.9148551715168,6850024,,,64.76416694432811,-1.1057332257103099,0,0.02618246972933158,1.0086991257563742,0.01004350259361605,,,0,0.0,1.0,1.0086991257563742
2021-05-27,1278.2266845703125,1290.9884414496025,1268.609744698229,1280.0041704833093,15365391,,,65.95077843768493,2.535375418545982,0,0.0035784332142088093,1.0123086882111243,0.010014407914434208,,,0,0.0,1.0,1.0123086882111243
2021-05-28,1280.779052734375,1288.9374169104367,1272.6205772846265,1285.0633122273607,4261312,,,66.62854123178171,5.562810415953209,0,0.0019968040057938286,1.0143300702548441,0.010008540594310656,,,0,0.0,1.0,1.0143300702548441
2021-05-31,1284.1883544921875,1291.3291327862248,1274.283403955297,1291.3291327862248,4429904,,,67.55749005777676,8.143305663366164,0,0.0026618968748230998,1.0170301122988945,0.009979733258643526,,,0,0.0,1.0,1.0170301122988945
2021-06-01,1278.1531982421875,1290.8684355305581,1270.2753748462144,1289.9470447842834,4791325,,,64.15307996216595,9.590823029135663,0,-0.004699588054111081,1.0122504897324633,0.01006081912836079,,,0,-0.0,1.0,1.0122504897324633
2021-06-02,1270.2752685546875,1282.529696970063,1257.6982634255426,1272.2101664650681,9272276,,,59.90913559385296,9.987181867369372,0,-0.006163525388298008,1.0060114581396802,0.009277398653618386,,,0,-0.0,1.0,1.0060114581396802
2021-06-03,1280.4105224609375,1289.02550243047,1268.8010229182107,1278.9823219824061,5115645,,,63.27517447419152,10.992415663437214,0,0.007978785509838326,1.0140382077846164,0.009238004251211449,,,0,0.0,1.0,1.0140382077846164
2021-06-04,1276.72509765625,1287.0907434510505,1269.3539717577253,1284.3725732912962,4194328,,,61.26100760321959,11.360728303704263,0,-0.0028783149935414087,1.011119486407126,0.008804914409153902,,,0,-0.0,1.0,1.011119486407126
2021-06-07,1280.4105224609375,1282.575767965128,1269.0313705776873,1281.654377327222,5154576,,,62.54498322006886,11.813819350398944,0,0.002886623605546035,1.0140382077846164,0.00859919225658786,,,0,0.0,1.0,1.0140382077846164
2021-06-08,1301.87890625,1309.9871891610856,1285.84679852152,1286.2613793345351,7360630,,,68.99224444512181,13.746752417445123,0,0.01676679737667297,1.0310403809467457,0.00875786636255119,,,0,0.0,1.0,1.0310403809467457
2021-06-09,1304.044189453125,1312.9816334771936,1294.1852423346318,1302.2935247802673,5394317,,,69.56134726392926,15.27722966375677,0,0.0016631986221837813,1.032755205887752,0.008455953615318533,,,0,0.0,1.0,1.032755205887752
2021-06-10,1312.3367919921875,1316.6672832032866,1307.4533763929069,1312.0603297980967,3496575,,,71.70333273095247,16.963740191319403,0,0.0063591422791740015,1.0393226431815499,0.00833727717515314,,,0,0.0,1.0,1.0393226431815499
2021-06-11,1333.1600341796875,1337.4905248557639,1317.0817012973491,1317.6806276609175,6140828,,,76.22723290269991,19.75287470859689,0,0.01586730046323659,1.0558138878391568,0.008220135687024134,,,0,0.0,1.0,1.0558138878391568
2021-06-14,1346.888916015625,1360.8940091019124,1339.195214000861,1355.365665124518,7132294,,,78.65067863695899,22.808171531454946,0,0.010297999852947104,1.066686659100864,0.0082330250776107,,,0,0.0,1.0,1.066686659100864
2021-06-15,1358.037841796875,1359.972739866835,1347.9946601796607,1348.9160509248281,5403104,1258.3094995117187,,80.39823533641058,25.831373417594932,0,0.008277539185808092,1.07551619972055,0.008238444112812599,1336.991679812621,1179.6273192108165,0,0.0,1.0,1.07551619972055
2021-06-16,1364.2110595703125,1372.3653448400291,1352.1408637921688,1356.9320504832872,7661710,1260.3400268554688,,81.31047454004104,28.398054678775452,0,0.004545689069510361,1.080405161953701,0.00804721432728978,1344.5303813287228,1176.1496723822147,0,0.0,1.0,1.080405161953701
2021-06-17,1377.7554931640625,1384.527691992039,1359.143334424717,1359.143334424717,7677951,1262.1911352539062,,83.16203192601446,31.165830373175822,0,0.009928400373778068,1.0911318569674737,0.008043730093375655,1352.4629393765376,1171.9193311312747,0,0.0,1.0,1.0911318569674737
2021-06-18,1385.1265869140625,1396.6439698542963,1370.4764533191965,1390.378468545032,13533974,1264.1686962890626,,84.08603430596827,33.56715692436478,0,0.005350073932982147,1.0969694930728817,0.00794875793796086,1360.706333019345,1167.6310595587802,0,0.0,1.0,1.0969694930728817
2021-06-21,1382.3624267578125,1387.430075294588,1367.5279474251513,1375.6362300737694,5454052,1265.7418505859375,,82.26296278741671,34.84550361810989,0,-0.0019956011113816396,1.0947803795333537,0.007777626490199306,1367.3400922389342,1164.1436089329409,0,-0.0,1.0,1.0947803795333537
2021-06-22,1393.0045166015625,1401.849844885735,1384.020957216577,1391.0235040884447,6427862,1267.3519213867187,,83.7258985491928,36.29889917917126,0,0.0076984802521795626,1.1032085246656649,0.007729694442601563,1374.3810942401312,1160.3227485333061,0,0.0,1.0,1.1032085246656649
2021-06-23,1384.988525390625,1405.1208907401085,1380.8422670245068,1405.1208907401085,5529809,1268.7797900390624,,78.4754887348667,36.384484446034094,0,-0.005754461751849682,1.0968601534061617,0.006501999322914398,1380.1441438119703,1157.4154362661545,0,-0.0,1.0,1.0968601534061617
2021-06-24,1436.6322021484375,1445.4315275128736,1392.4054526213504,1397.7495631789827,10785137,1271.5194702148438,,85.00126964005823,40.156623932706225,0,0.03728816218404907,1.1377600526995917,0.00983986005983865,1392.3232469742982,1150.7156934553893,0,0.0,1.0,1.1377600526995917
2021-06-25,1450.4532470703125,1453.9545768459084,1421.7059011870956,1448.4262324472547,9780240,1275.0569775390625,,86.20653066062279,43.75691202648545,0,0.009620447670048105,1.1487058137476593,0.009828201593504738,1406.037075548677,1144.076879529448,0,0.0,1.0,1.1487058137476593
2021-06-28,1448.241943359375,1455.9355331888175,1437.9223000624263,1449.2554506317624,5019178,1279.2138745117188,,85.02923087784843,45.90259599736055,0,-0.0015245604885258945,1.1469545422510796,0.009953214299085482,1418.6254995654492,1139.8022494579884,0,-0.0,1.0,1.1469545422510796
2021-06-29,1440.1796875,1449.9464058071383,1436.6322435498976,1438.290791694736,5913567,1283.3371435546876,,80.70186767982759,46.41743800288373,0,-0.005566926090176394,1.1405695310855757,0.010004391657333305,1429.332171059271,1137.342116050104,0,-0.0,1.0,1.1405695310855757
2021-06-30,1456.534423828125,1465.9325637220447,1448.472255422991,1448.472255422991,6058722,1287.6270751953125,,82.63275800285982,47.59648192509144,0,0.0113560387429954,1.1535218828696636,0.00964072444909391,1441.0837641807723,1134.1703862098527,0,0.0,1.0,1.1535218828696636
2021-07-01,1437.7379150390625,1452.8947454224938,1436.494060223687,1452.8947454224938,4814317,1291.7452612304687,,73.52716049613488,46.47838763680943,0,-0.012904953347865789,1.1386357367854882,0.010601732371720112,1450.0646301788893,1133.4258922820482,0,-0.0,1.0,1.1386357367854882
2021-07-02,1444.5562744140625,1446.0764789737038,1421.3371630580539,1436.4018773606442,5166064,1296.0043701171876,,74.61970767527691,45.61663431109787,0,0.004742421621964921,1.1440356275231618,0.010406129574675049,1459.1052852619273,1132.903454972448,0,0.0,1.0,1.1440356275231618
2021-07-05,1454.829833984375,1460.4042928364024,1438.337030057457,1445.800272402929,4058338,1300.7843481445314,,76.21268927048338,45.24116697820227,0,0.007111913708228279,1.1521719101852452,0.010377208197502227,1468.2452708546562,1133.3234254344065,0,0.0,1.0,1.1521719101852452
2021-07-06,1439.396484375,1462.0166707012957,1434.6974143722837,1449.992477261759,4089574,1305.0779052734374,,69.18738719952682,43.20027816475044,0,-0.01060835380802394,1.1399492629143333,0.0107445743371937,1475.559651655346,1134.5961588915288,0,-0.0,1.0,1.1399492629143333
2021-07-07,1441.6077880859375,1447.0901299365482,1423.2260896134326,1442.943872012725,4797120,1309.3254516601562,,69.61950822632889,41.285380636396894,0,0.0015362714408029277,1.141700534410913,0.010746740704580598,1482.6529838687686,1135.9979194515438,0,0.0,1.0,1.141700534410913
2021-07-08,1438.060546875,1452.1117551657858,1427.2342060607882,1444.7406295050457,3326813,1313.3653125,,67.97271711788949,39.03164531802372,0,-0.0024606146278158825,1.1388912493753562,0.010871773226732794,1489.122515994466,1137.608109005534,0,-0.0,1.0,1.1388912493753562
2021-07-09,1440.04150390625,1446.4912386108886,1429.076932413475,1433.6838857739313,3436594,1317.4384155273438,,68.42194015848413,36.97911826118684,0,0.0013775199073187139,1.1404600947436419,0.01056263288194165,1495.3403312656949,1139.5364997889926,0,0.0,1.0,1.1404600947436419
2021-07-12,1426.174560546875,1453.9545124139324,1413.182974280652,1447.0901967462448,4588982,1321.2706420898437,,61.878964093564484,33.8434036522483,0,-0.009629544233106913,1.1294779838152147,0.010864482346505673,1500.1383568901272,1142.4029272895602,0,-0.0,1.0,1.1294779838152147
2021-07-13,1423.50244140625,1434.0524318458567,1415.532502253908,1434.0524318458567,4456160,1325.0913549804689,,60.6749022557621,30.78780687730614,0,-0.0018736269840631259,1.1273617633868334,0.010838075284705345,1504.3773887060522,1145.8053212548855,0,-0.0,1.0,1.1273617633868334
